Teams,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,Winning %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clippers,1,0.977430556,1,1,1,0.973357016,1,1.034671533,0.973544974,1,0.971014493,1,0.968283582,1,1.036608863,1.040892193,1,0.967857143,1,1.042435424,1,1,1.046017699,0.966159052,1,0.963222417,1,1.052727273,1,1.055267703,1,0.962356792,1,0.957482993,1,0.946714032,1,1.071294559,0.942206655,1,1.083643123,1,1,0.934819897,1,0.917431193,1.112,1,0.899280576,1,0.858,1,0.776223776,1.201201201,1,1.25,1,1.334,1,1.499250375,1,1,0.512,1,1,1,1,0.98828125,0.988142292,1,1,0.988,1,1,0.98582996,1,0.987679671,1.012474012,1,0.985626283,1,1,1,1.0125,1,1,1.014403292,1,1,1,1.014198783,1,1.014,1,1.013806706,0.986381323,1,1.015779093,1,0.984466019,1.015779093,1,1.015533981,1,1,0.986615679,1,0.984496124,1,0.984251969,1,0.984,1,1,1,1,1,1,1,0.981707317,1,1.01863354,0.981707317,1,0.98136646,1,1.016877637,1,1.018672199,1,1.018329939,1,1,0.982,1,1,1.018329939,0.98,1,1.020408163,1,0.98,0.97755102,1,1.020876827,1,0.977505112,1,1.023012552,1,0.975460123,1,1.023060797,1,1.024590164,1,0.976,1,0.973360656,1.025263158,1,1.026694045,1,1,1.028,1,0.972762646,1.028,1,0.972762646,1,1.03,1.031067961,1,1,1,0.971751412,1,1.032945736,1,1.03564728,1,1,1.03442029,1,0.973730298,1,0.967625899,1,1,0.966542751,1,0.961538462,1,1.044,0.957854406,1,1.048,1,1.049618321,1.052727273,1,0.960276339,1,1,1.057553957,1,0.957482993,1,1.065719361,1.071666667,1,0.956454121,1,1.084552846,0.953523238,1,0.943396226,1,0.926666667,1,0.899280576,1,0.858,1,0.776223776,1,0.600600601,1,1,1.25,1,1.332,1,1.960960961,1.013782542,1,1.013595166,0.994038748,1,0.992503748,1,1.01510574,1,1,0.992559524,1,0.992503748,1,1,1.01510574,1,1,1.016369048,1,1.016105417,1,1,0.992795389,1,0.991291727,0.992679356,1,0.991150442,1,1.017857143,1,0.992690058,0.991163476,1,0.991084695,1,0.989505247,0.990909091,1,0.989296636,1,0.989180835,1,1,1.0203125,1,1.02143951,0.989505247,1,0.987878788,1,1.048742138,1.1994003,1,0.9375,0.889333333,1,1.499250375,1,1,1,1,0.628,0.98566879,1,1,1.024232633,1,0.985804416,1.0256,1,1,0.985959438,1,1,1,1,1,1,1.026898734,1,1.027734977,1,1.028485757,1,0.985422741,1.031065089,1,0.987087518,1,1.031976744,1,0.985915493,1,1.034285714,1,0.986187845,0.985994398,1,0.982954545,1,0.98265896,1,1,1.041176471,1,1.043785311,1,0.98376184,1.048143054,1,0.984251969,1,0.982666667,0.979647218,1,1.059556787,1,0.980392157,1,0.977333333,1,0.974079127,1,1,0.969187675,1,0.963872832,1,0.953523238,1,1,0.943396226,1,1.111666667,1,0.937031484,1.1424,1,0.934173669,1.020989505,0.992657856,1,0.99260355,1,1.01490313,0.992657856,1,0.99408284,1,1.014880952,1,1,0.992668622,1,1.016248154,0.992732558,1,1.016105417,1,1,0.992795389,1,0.991291727,1,0.992679356,1,0.991150442,1,0.992559524,1,0.991004498,1,1.018154312,1,1,1,1,1,1,1,1,1.017830609,1,1.018978102,1,0.991404011,1.020231214,1,1,0.991501416,1,0.991428571,1,0.991354467,1,1.020348837,1,1,1,0.991452991,1,0.989942529,1,1.023222061,0.990070922,1,1,0.988538682,1,0.989855072,1,0.988286969,1,1.025185185,1,0.988439306,1,1,1,1,0.988304094,1.026627219,1,0.988472622,1,0.985422741,1,1,1.031065089,1,1,0.987087518,1,1,1.031976744,0.985915493,1,1.034285714,1,0.986187845,1,1,1.037815126,0.986504723,1,0.98495212,1,0.983333333,0.983050847,1,1.04454023,1,1,0.982118294,1,0.980392157,1,1.052857143,1,0.979647218,0.977839335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakers ,1,1,1.033412888,1,1.034642032,0.957589286,1,0.948717949,1,1,1.039312039,1,0.945626478,1,1.0425,1,1.043165468,1.045977011,1,0.942857143,1,0.932400932,1,0.92,1,1.057065217,1,0.907455013,0.886685552,1,1,1.063897764,1,0.858858859,1,0.807692308,1,1,1,1,0.722943723,1,1.089820359,1,1.098901099,1,1.11,1.126126126,1,1.144,1,0.583916084,1,1,0.982587065,1,0.982278481,1.010309278,1,1.012755102,1,1.01511335,1,1.012406948,1.012254902,1,1.014527845,1,1.014319809,1,1,1,1.014117647,1,0.981438515,1,1.014184397,0.979020979,1,1.014285714,1,1.016431925,1.013856813,1,0.981776765,1,1.016241299,1,1.01369863,1,0.97972973,1,1.018390805,1,1.015801354,1,1.017777778,1,1.017467249,1,1,1,1,1,1,1,1,0.978540773,1,1,1,1.01754386,1,1,1.019396552,1.016913319,1,1,0.981288981,1,1.019067797,0.979209979,1,1,1.01910828,1,1.020833333,1.020408163,1,0.978,1,1.022494888,1,0.978,1,1.022494888,1,0.976,1,1.024590164,1,1,1.024,1,1,1.025390625,1,0.977142857,1,1,0.974658869,1,0.972,1,0.971193416,1,1.029661017,0.969135802,1,1,1.029723992,1,1.030927835,1,1.032,1,1.032945736,1,1.03564728,1,0.971014493,1,1,0.968283582,1,0.963391137,1.04,1,0.961538462,1,1,1,1.044,1,1,0.957854406,1,0.952,1,1.050420168,1,0.948,1.054852321,1,0.942,1,1.061571125,1,1.066,1,1.071294559,0.942206655,1,1.083643123,1,0.934819897,1,0.917431193,1,1.112,1,1.124100719,1,0.9136,1,0.875656743,1,0.8,1,1.25,0.666,1,1.750750751,0.989708405,0.989601386,1,1,0.989492119,0.989380531,1,0.987477639,1,1.016304348,1.01426025,1,1,0.989455185,1.014209591,1,1.017513135,1,1.015490534,1,0.988135593,1,1.017152659,1,1.016863406,1,1,1.018242123,1,0.988599349,1,1.018121911,1,0.988673139,1.019639935,1,0.987158909,1,1.019512195,1,0.988835726,1,1.020967742,1,0.987361769,1,1.0208,1,1,0.987460815,1,0.987301587,1.022508039,1,1.023584906,1.024577573,0.899550225,1,0.833333333,1,1.334,0.749625187,1,0,1.024577573,1.023988006,1,0.988286969,1,0.988148148,0.986506747,1,1,0.986322188,1,1,1,1,1,1,1,1.027734977,1.028485757,1,0.985422741,1,0.986686391,1,1.031484258,1,1.031976744,1,1.032394366,1,1.035470668,1,0.988142292,1,1.037333333,1,0.988431877,1,0.988296489,1,0.986842105,1,0.985333333,1,0.98376184,1,1,0.982118294,1,0.980392157,1,1.052857143,1.055630936,1,0.983290488,1,0.980392157,1,0.977333333,1,1,1.072305593,1,1,0.978371501,1,0.975292588,0.969333333,1,0.962861073,1,0.952857143,1.124437781,1,0.952,1,0.934173669,1.097451274,1.015027322,1,1,0.99461642,1,1.01488498,1,1.014666667,1.015768725,1,0.994825356,1,1.015604681,1,0.996158771,1,1,1,1,1,1,1,1,0.993540052,1,0.99479844,1,0.993464052,1,1.021052632,1,0.993556701,1,1,0.993514916,1.022193211,1,1,1,1,1,1.021711367,1,0.99375,0.994968553,1,1.024020228,1,0.99382716,1,1,1.02484472,1,0.995151515,1,0.993909866,0.993872549,1,1,0.993834772,1,0.992555831,1,0.9925,1,0.992443325,1,1,0.991116751,0.991037132,1,1,1.033591731,1,1,1.035,1,1,1.035024155,1,1.037339557,1,0.995500562,1,0.994350282,1,0.994318182,1,1,0.994285714,1,0.993103448,1,0.991898148,0.991831972,1,1.052941176,1,0.993296089,1,0.992125984,1,0.992063492,1,0.990857143,0.988465975,1,1,0.987164527,1,0.98463357,1,0.981992797,1,0.97799511,0.9725,1,1.124678663,1,0.979428571,1,1,0.971995333,1,0.960384154,1,0.9375,1,1,0.889333333,1,0.749625187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,1,0.968,1,1.033057851,1,1.034,0.967117988,1,1.038,1,0.963391137,1,1.04,1.042307692,1,1,0.963099631,0.957854406,1,0.952,1,1.050420168,1,0.948,1,1.054852321,1.058,1,1,1.064272212,1,1,1.065719361,1,0.951666667,1,1.077057793,0.94796748,1,1,0.934819897,1,1.100917431,1.111666667,1,0.937031484,1,1,0.9136,1,0.875656743,1,1,0.8,1,0.666,1,1.501501502,1,1,1.268,1,1,0.993690852,1,0.992063492,1,0.992,1,1,0.991935484,1,1.01300813,1,0.991974318,0.991909385,1,0.991843393,1,1.013157895,1,0.991883117,1,0.991816694,1,1.01320132,1.01465798,1,0.991974318,1,1,0.990291262,1,0.990196078,1,1.014851485,1,0.990243902,1,0.990147783,1,0.990049751,1,0.988274707,1,0.988135593,1,1.017152659,1,1,1,1,1,1,1,0.988195616,1,0.988054608,1,1,1.017271157,1,0.98811545,1,0.986254296,1,0.986062718,1,0.985865724,1,1.019713262,1,1,1.019332162,0.984482759,1,1,0.985989492,1.019538188,1,0.984320557,1,1,1.02300885,0.982698962,1,0.982394366,1,0.982078853,0.979927007,1,1.024208566,1,1,0.978181818,1,0.977695167,1,0.977186312,1,0.972762646,0.972,1,0.969135802,1,1.029723992,1,0.967010309,1,1.031982942,1,1.033057851,1,0.966,1,1.035196687,1,1,1,1.038,1,0.963391137,0.96,1,1.041666667,1,0.956,1.046025105,1,1,1.048,1.049618321,1,0.956363636,1,1.057034221,1,1.057553957,1,1,1,0.957482993,1,1.065719361,1,1.071666667,1,1.076205288,1,0.963872832,1,1,0.953523238,1,1.100628931,1,0.952857143,1,0.937031484,1,1,0.9136,1.168126095,1,0.899550225,1,1.25,0.889333333,1,0.749625187,1,1,1.166,1.015437393,1,0.989864865,1,0.989761092,1.013793103,1,0.989795918,1,0.989690722,0.987847222,1,0.989455185,1,1.014209591,0.989492119,1,0.985840708,1,0.987432675,1.016363636,1,0.987477639,1,0.985507246,0.985294118,1,1,1.016791045,1,1.020183486,1,0.98381295,1,1.020109689,1.019713262,1,1,0.984182777,1.019642857,1,0.985989492,1,0.982238011,0.981916817,1,0.981583794,1,0.981238274,1,1.022944551,1.024299065,1,0.979927007,1,1.332,1,1,1.612612613,0.977653631,1,1.024761905,1,0.977695167,1,1.02851711,0.975970425,1,1.028409091,0.974217311,1,1,1,1,1,1,0.973534972,1,0.970873786,1,0.968,1,1.033057851,1,0.966,0.960662526,1,1,1,1,1,1,1,1.036637931,1,0.96049896,1,0.952380952,1,0.947727273,1,0.93764988,1,1.046035806,0.931540342,1,1.049868766,1,1.0525,1.054631829,1,1.060810811,1,1.061571125,1,1.066,0.938086304,1,0.924,1,1.082251082,1.09,1,1.100917431,1,0.926666667,1,1,1,0.899280576,1,0.858,1,1,0.776223776,1.201201201,0.8325,1,1,1.720720721,1.013961606,1,1.013769363,0.989813243,1,0.989708405,1,1,0.989761092,1,1.013793103,1,1.015306122,0.989949749,1.015228426,1,1.015,1,0.990147783,1,0.990049751,1,1.016750419,0.988467875,1,1.016666667,1,0.98852459,1,0.988391376,1,1.018456376,0.988467875,1,1,1,1,1,1,1,1,0.988333333,1,1.018549747,1,0.986754967,1.020134228,1,1.019736842,1,0.987096774,1,0.986928105,1.021523179,1,1,1.021069692,0.987301587,1,1.022508039,1,0.987421384,1,1.02388535,1,1,1,0.98600311,1,0.985804416,0.984,1,1,0.983739837,1.028099174,1,1.02733119,1,0.984350548,1,1.028616852,1,0.982998454,1,1.031446541,1,1.032012195,0.985228951,1,0.982008996,1,1,1,1.036641221,1,0.982326951,1,1.037481259,1,0.98265896,1,1.041176471,1,0.983050847,1,1,1,1.04454023,0.982118294,1,1,0.980392157,0.977142857,1,0.975146199,1,0.970014993,1,1,1.063369397,1,0.969476744,1,0.964017991,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,1,1,1,0.981042654,1,0.977455717,1,1.037891269,1,0.976190476,1,1,1,0.975609756,1,0.971666667,1,1.044596913,1,1.044334975,1,1.048742138,1,0.974512744,1,0.972307692,1,1,0.966772152,1,0.962356792,1.06292517,1,0.96,1,1.071666667,1,1.076205288,1,1,0.963872832,1,1.089955022,1,0.962861073,1,0.952857143,1,0.937031484,1,0.9136,1,1,1,1,0.899550225,1,0.833333333,1,1.334,1,0.899550225,1,1,1,0.833333333,1,0.666,1,1.756756757,1,1.013675214,1,1,0.991568297,1,1.011904762,1,0.991596639,1,1.011864407,1,0.991624791,1,0.991554054,1,0.989778535,1,1.013769363,1,0.989813243,1,1.015437393,1,1.013513514,1,0.99,1,0.98989899,1,1.015306122,1,1.015075377,0.99009901,1,0.99,0.988215488,1,0.989778535,1,1.015490534,1,1,0.988135593,0.987993139,1,0.987847222,1,1,1,1,1,1,1,0.985940246,1,0.987522282,1,0.983754513,1.020183486,1,1,0.98381295,1,0.983546618,1,1.020446097,1,1.02003643,1.019642857,1,0.985989492,1,0.982238011,1,0.981916817,0.981583794,1,0.981238274,1,1.022944551,1,0.979439252,1,1,1.02480916,0.977653631,1,0.977142857,1,1.025341131,1,0.977186312,1,0.972762646,1,1.028,1,1.029182879,1,0.973534972,1,1,1,0.970873786,1,0.968,1,1,1.033057851,1.034,1,1,1,1,0.967117988,1,1.038,1,0.963391137,1,0.96,1,1.041666667,0.956,1,1.046025105,1,0.952,1,1,1.050420168,1,0.948,1,1,1.054852321,1,1,1.058,1,1.064272212,1,1.065719361,1.071666667,1,1,1.076205288,0.963872832,1,0.953523238,1,0.943396226,1,0.926666667,1,0.899280576,1,1,1.142,1,1.168126095,1,0.899550225,0.833333333,1,1,1.334,0.979010495,1,1.013782542,0.99244713,0.99238965,1,0.992331288,1,1,1.015455951,1.0152207,1,0.992503748,1,1.01510574,1,0.992559524,1,0.991004498,0.992435703,1,0.990853659,1,0.990769231,1.017080745,1,0.990839695,1,0.990755008,1,1,0.98911353,1,0.990566038,1,1.019047619,1.018691589,1,0.989296636,1,0.989180835,0.9890625,1,0.987361769,1,1,0.9872,1,0.987034036,1,0.985221675,1,0.985,1,1.023688663,0.983471074,0.336134454,1.25,1,1,1.332,1,0.892053973,1.025210084,1,0.983606557,1,0.983333333,1,0.981355932,1,1.027633851,0.979831933,1,1,1,1,1,1,1,0.97941681,1,0.978984238,0.974955277,1,0.974311927,1,1.032015066,1,0.972627737,1,1.03564728,1,0.971014493,1,1.037313433,1.037769784,1,0.970537262,1,0.967857143,1,0.963099631,1,1.044061303,1,1.047706422,1,1.050788091,1,1,1,0.965,1,1.055267703,1,0.962356792,1,0.957482993,1,0.946714032,0.938086304,1,1,0.924,1,1.082251082,1,1,0.91,1,1.098901099,1,0.888,0.844594595,1,1.144,1,0.776223776,1,0.600600601,1.665,1,0.749625187,1,1.26,1.014285714,1,1.014084507,1,1.013888889,1,0.99238965,1,1.015337423,0.99244713,1,0.99238965,1,1.015337423,1,0.503021148,1,1,1.501501502,1,1.344,1,0.992559524,1,1.014992504,1,0.992614476,1,1.016369048,1,0.992679356,1,1.017699115,1,1,0.991304348,1,0.992690058,1,1.017673049,1,1,1,1,1,1,1,1,1.018813314,1,0.991477273,1,0.991404011,1,1,0.99132948,0.991253644,1,1.020588235,1,0.991354467,0.989825581,1,1.022026432,1,0.989942529,1,0.989840348,1,1.023460411,1,0.988538682,1.024637681,1,1,0.99009901,0.988571429,1,1,0.988439306,1.027777778,1,1,0.987197724,1,0.988472622,1,1.029154519,1,0.987252125,1,1.031563845,1,0.987482615,0.985915493,1,1,1.034285714,1,0.986187845,0.985994398,1,0.982954545,1,0.98265896,1,1,0.980882353,0.977511244,1,0.975460123,1,1.048742138,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
